Meta 資訊
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

廣告主資料
帳號：3518918538334496,公司：木品時尚有限公司,和德街33號11樓,"高雄市鳳山區,",Taiwan,BAN: 90553951

帳單報告：2026/3/1 - 2026/4/1

Meta 廣告付款
付款方式：萬事達卡 ···· 2202
日期,交易編號,金額,幣別
2026/3/31,26235566069461005-26111874435163504,"15,647",TWD
2026/3/23,26144008565283423-26144008601950086,"14,741",TWD
2026/3/17,26116776778006601-26056918383992439,"13,864",TWD
2026/3/16,26038222649195346-26106709342346674,"10,062",TWD
2026/3/15,25933437029673913-26000318549652420,"13,021",TWD
2026/3/15,26374286722255598-26099109206440021,"12,206",TWD
2026/3/14,26137794499238161-26137794585904819,"11,414",TWD
2026/3/6,26053400481010897-25906653095685633,"7,039",TWD
,總帳單金額,"97,994",TWD

VAT Rate: 0%
VAT Amount: 0
